Team1Name,Team2Name,Map,Score,Winner,GameName,Format,Team1Bet,Team2Bet,DataSource,MatchID
Faith,Unnamed,Unavailable,Unavailable,Faith,CS: GO,Best of 3,80%,20%,CSGOL,967
Reason,mouz,Unavailable,Unavailable,mouz,CS: GO,Best of 1,23%,77%,CSGOL,968
OB,HR,Unavailable,Unavailable,HR,CS: GO,Best of 1,13%,87%,CSGOL,969
Reason,OB,Unavailable,Unavailable,Reason,CS: GO,Best of 1,55%,45%,CSGOL,970
aAa,Platinum,Unavailable,Unavailable,Platinum,CS: GO,Best of 3,60%,40%,CSGOL,971
Justus,Armata,Unavailable,Unavailable,Justus,CS: GO,Best of 3,79%,21%,CSGOL,972
VP,HR,Unavailable,Unavailable,VP,CS: GO,Best of 1,73%,27%,CSGOL,973
Reason,Titan,Unavailable,Unavailable,Titan,CS: GO,Best of 1,14%,86%,CSGOL,974
Katrina,Platinum,Unavailable,Unavailable,Platinum,CS: GO,Best of 3,40%,60%,CSGOL,975
PV,Savage,Unavailable,Unavailable,Savage,CS: GO,Best of 3,71%,29%,CSGOL,976
Fnatic,Berzerk,Unavailable,Unavailable,Fnatic,CS: GO,Best of 1,87%,13%,CSGOL,977
Berzerk,mouz,Unavailable,Unavailable,mouz,CS: GO,Best of 1,12%,88%,CSGOL,978
Reason,Berzerk,Unavailable,Unavailable,Reason,CS: GO,Best of 1,70%,30%,CSGOL,979
ESG!,VP,Unavailable,Unavailable,ESG!,CS: GO,Best of 1,22%,78%,CSGOL,980
A51,PV,Unavailable,Unavailable,A51,CS: GO,Best of 3,61%,39%,CSGOL,981
mouz,OB,Unavailable,Unavailable,mouz,CS: GO,Best of 1,87%,13%,CSGOL,982
OB,Nostalgie,Unavailable,Unavailable,OB,CS: GO,Best of 1,59%,41%,CSGOL,983
Na'Vi,ESC,Unavailable,Unavailable,Na'Vi,CS: GO,Best of 1,88%,12%,CSGOL,984
ESG!,HR,Unavailable,Unavailable,HR,CS: GO,Best of 1,55%,45%,CSGOL,985
Na'Vi,Berzerk,Unavailable,Unavailable,Unavailable,CS: GO,Best of 1,90%,10%,CSGOL,986
HR,LDLC,Unavailable,Unavailable,HR,CS: GO,Best of 1,59%,41%,CSGOL,987
Epsilon,HR,Unavailable,Unavailable,HR,CS: GO,Best of 1,20%,80%,CSGOL,988
Fnatic,LDLC,Unavailable,Unavailable,Fnatic,CS: GO,Best of 1,73%,27%,CSGOL,989
Justus,Exertus,Unavailable,Unavailable,Exertus,CS: GO,Best of 1,26%,74%,CSGOL,990
Titan,HR,Unavailable,Unavailable,HR,CS: GO,Best of 1,37%,63%,CSGOL,991
Fnatic,Titan,Unavailable,Unavailable,Fnatic,CS: GO,Best of 1,55%,45%,CSGOL,992
HR,Fnatic,Unavailable,Unavailable,Unavailable,CS: GO,Best of 1,66%,34%,CSGOL,993
mouz,CW,Unavailable,Unavailable,CW,CS: GO,Best of 1,73%,27%,CSGOL,994
Fnatic,LDLC,Unavailable,Unavailable,LDLC,CS: GO,Best of 3,75%,25%,CSGOL,995
Titan,Na'Vi,Unavailable,Unavailable,Na'Vi,CS: GO,Best of 3,37%,63%,CSGOL,996
ESG!,AG,Unavailable,Unavailable,AG,CS: GO,Best of 3,79%,21%,CSGOL,997
MWNL,Mythic,Unavailable,Unavailable,MWNL,CS: GO,Best of 1,24%,76%,CSGOL,998
IBP,Savage,Unavailable,Unavailable,IBP,CS: GO,Best of 1,91%,9%,CSGOL,999
LDLC,Na'Vi,Unavailable,Unavailable,Na'Vi,CS: GO,Best of 3,30%,70%,CSGOL,1000
Fnatic,mouz,Unavailable,Unavailable,Fnatic,CS: GO,Best of 1,71%,29%,CSGOL,1001
MWNL,Exertus,Unavailable,Unavailable,Exertus,CS: GO,Best of 1,36%,64%,CSGOL,1002
coL,Lunatik,Unavailable,Unavailable,coL,CS: GO,Best of 1,86%,14%,CSGOL,1003
NetCode,GlobalG,Unavailable,Unavailable,NetCode,CS: GO,Best of 1,82%,18%,CSGOL,1004
gB,Platinum,Unavailable,Unavailable,Platinum,CS: GO,Best of 1,28%,72%,CSGOL,1005
PCH,Infused,Unavailable,Unavailable,Infused,CS: GO,Best of 3,29%,71%,CSGOL,1006
Epsilon,OverGaming,Unavailable,Unavailable,Epsilon,CS: GO,Best of 3,80%,20%,CSGOL,1007
Epsilon,HR,Unavailable,Unavailable,Epsilon,CS: GO,Best of 3,18%,82%,CSGOL,1008
LDLC,K1CK,Unavailable,Unavailable,LDLC,CS: GO,Best of 3,86%,14%,CSGOL,1009
Epsilon,LDLC,Unavailable,Unavailable,LDLC,CS: GO,Best of 3,54%,46%,CSGOL,1010
DF,PCH,Unavailable,Unavailable,PCH,CS: GO,Best of 3,17%,83%,CSGOL,1011
Infused,PCH,Unavailable,Unavailable,Infused,CS: GO,Best of 5,83%,17%,CSGOL,1012
LDLC,ESG!,Unavailable,Unavailable,Unavailable,CS: GO,Best of 1,72%,28%,CSGOL,1013
ESG!,Epsilon,Unavailable,Unavailable,ESG!,CS: GO,Best of 1,53%,47%,CSGOL,1014
Reason,LDLC,Unavailable,Unavailable,LDLC,CS: GO,Best of 1,13%,87%,CSGOL,1015
A51,Reliable,Unavailable,Unavailable,A51,CS: GO,Best of 1,65%,35%,CSGOL,1016
HR,Epsilon,Unavailable,Unavailable,Epsilon,CS: GO,Best of 3,68%,32%,CSGOL,1017
