Team1Name,Team2Name,Map,Score,Winner,GameName,Format,Team1Bet,Team2Bet,DataSource,MatchID
Games4u,Recursive,dust2,14:16 (7:8) (7:8),Recursive,CS: GO,Unavailable,Unavailable,Unavailable,HLTV,17493
Games4u,Recursive,inferno,11:16 (6:9) (5:7),Recursive,CS: GO,Unavailable,Unavailable,Unavailable,HLTV,17494
Menace,Nostalgie,dust2,10:16 (9:6) (1:10),Nostalgie,CS: GO,Unavailable,Unavailable,Unavailable,HLTV,17495
Menace,Nostalgie,mirage,16:9 (10:5) (6:4),Menace,CS: GO,Unavailable,Unavailable,Unavailable,HLTV,17496
Menace,Nostalgie,nuke,12:16 (11:4) (1:12),Nostalgie,CS: GO,Unavailable,Unavailable,Unavailable,HLTV,17497
myRevenge,Recursive,mirage,16:14 (9:6) (7:8),myRevenge,CS: GO,Unavailable,Unavailable,Unavailable,HLTV,17498
myRevenge,Recursive,cache,16:5 (14:1) (2:4),myRevenge,CS: GO,Unavailable,Unavailable,Unavailable,HLTV,17499
ENCORE,Nostalgie,nuke,16:10 (11:4) (5:6),ENCORE,CS: GO,Unavailable,Unavailable,Unavailable,HLTV,17500
Nostalgie,ENCORE,inferno,16:2 (13:2) (3:0),Nostalgie,CS: GO,Unavailable,Unavailable,Unavailable,HLTV,17501
Nostalgie,ENCORE,dust2,17:19 (6:9) (9:6) (2:4),ENCORE,CS: GO,Unavailable,Unavailable,Unavailable,HLTV,17502
ENCORE,Nostalgie,dust2,3:3 (3:3) (0:0),Tie,CS: GO,Unavailable,Unavailable,Unavailable,HLTV,17503
UNNAMED,USSR,dust2,4:16 (4:11) (0:5),USSR,CS: GO,Unavailable,Unavailable,Unavailable,HLTV,17504
USSR,UNNAMED,nuke,12:16 (11:4) (1:12),UNNAMED,CS: GO,Unavailable,Unavailable,Unavailable,HLTV,17505
UNNAMED,USSR,inferno,17:21 (8:7) (7:8) (2:6),USSR,CS: GO,Unavailable,Unavailable,Unavailable,HLTV,17506
USSR,UNNAMED,inferno,5:3 (5:3) (0:0),USSR,CS: GO,Unavailable,Unavailable,Unavailable,HLTV,17507
Berzerk,ESG!,dust2,12:16 (9:6) (3:10),ESG!,CS: GO,Unavailable,Unavailable,Unavailable,HLTV,17508
