Team1Name,Team2Name,Map,Score,Winner,GameName,Format,Team1Bet,Team2Bet,DataSource,MatchID
BURNING!,Loaded,dust2,14:16 (4:11) (10:5),Loaded,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3574
akta!,N3G,inferno,15:15 (4:11) (11:4),Tie,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3575
Loaded,akta!,dust2,20:10 (11:4) (9:6),Loaded,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3576
Iniquity,The Dons,inferno,16:13 (6:9) (10:4),Iniquity,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3577
SK Gaming,iDemise,inferno,16:14 (9:6) (7:8),SK Gaming,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3578
BURNING!,N3G,nuke,16:10 (10:5) (6:5),BURNING!,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3579
mTw,TAU,train,26:4 (15:0) (11:4),mTw,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3580
Lions,Animus,inferno,27:3 (13:2) (14:1),Lions,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3581
Na`Vi,Hausen,nuke,22:8 (12:3) (10:5),Na`Vi,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3582
Underestimated,Team 34,inferno,21:9 (11:4) (10:5),Underestimated,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3583
mousesports,Team 34,nuke,21:9 (9:6) (12:3),mousesports,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3584
Lions,Area51,nuke,26:4 (14:1) (12:3),Lions,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3585
eXult,Na`Vi,nuke,5:25 (4:11) (1:14),Na`Vi,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3586
Animus,Area51,tuscan,13:17 (7:8) (6:9),Area51,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3587
Underestimated,mousesports,inferno,7:23 (2:13) (5:10),mousesports,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3588
eXult,Hausen,tuscan,11:19 (4:11) (7:8),Hausen,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3589
