Team1Name,Team2Name,Map,Score,Winner,GameName,Format,Team1Bet,Team2Bet,DataSource,MatchID
SFTO,dotpiXels,inferno,16:13 (9:6) (7:7),SFTO,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11539
DkH,dotpiXels,nuke,16:11 (13:2) (3:9),DkH,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11540
teamKR,dotpiXels,nuke,5:16 (4:11) (1:5),dotpiXels,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11541
teamKR,NOD,nuke,16:4 (12:3) (4:1),teamKR,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11542
DkH,NOD,nuke,16:2 (13:2) (3:0),DkH,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11543
SK Gaming,mibr,dust2,14:16 (7:8) (7:8),mibr,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11544
fnatic,WeMade FOX,inferno,16:14 (9:6) (7:8),fnatic,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11545
D-Link PGS,SK Gaming,train,14:16 (11:4) (3:12),SK Gaming,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11546
BEAT IT!,Earthquake,mirage,16:8 (8:7) (8:1),BEAT IT!,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11547
Fx,eMg,inferno,8:16 (7:8) (1:8),eMg,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11548
mibr,Power Gaming,train,16:21 (6:9) (9:6) (1:6),Power Gaming,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11549
Power Gaming,mibr,train,6:0 (6:0) (0:0),Power Gaming,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11550
WeMade FOX,Fx,inferno,16:10 (12:3) (4:7),WeMade FOX,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11551
fnatic,eMg,train,16:7 (10:5) (6:2),fnatic,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11552
WeMade FOX,mibr,dust2,10:16 (4:11) (6:5),mibr,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11553
eMg,SK Gaming,dust2,11:16 (6:9) (5:7),SK Gaming,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11554
SK Gaming,mibr,inferno,16:4 (11:4) (5:0),SK Gaming,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11555
WeMade FOX,eMg,inferno,16:11 (10:5) (6:6),WeMade FOX,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11556
fnatic,Power Gaming,nuke,16:8 (10:5) (6:3),fnatic,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11557
Power Gaming,SK Gaming,train,19:21 (8:7) (7:8) (4:6),SK Gaming,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11558
Power Gaming,SK Gaming,train,6:1 (6:1) (0:0),Power Gaming,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11559
SK Gaming,fnatic,train,5:16 (5:10) (0:6),fnatic,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11560
No team,No team,Unknown,0:0 (0:0) (0:0),Tie,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11561
EG.ca,Dynamo,dust2,17:13 (4:11) (13:2),EG.ca,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11562
Sway Gaming,SK Gaming,nuke,6:16 (5:10) (1:6),SK Gaming,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11563
Sway Gaming,slashLEVEL,inferno,21:9 (9:6) (12:3),Sway Gaming,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11564
fnatic,Gravitas,nuke,16:6 (13:2) (3:4),fnatic,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11565
SK Gaming,slashLEVEL,nuke,16:8 (12:3) (4:5),SK Gaming,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11566
EG.ca,SK Gaming,nuke,9:16 (6:9) (3:7),SK Gaming,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11567
mibr,NSU,inferno,16:6 (10:5) (6:1),mibr,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11568
Sway Gaming,fnatic,nuke,5:16 (3:12) (2:4),fnatic,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11569
Evil Geniuses,EG.ca,nuke,16:4 (14:1) (2:3),Evil Geniuses,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11570
Sway Gaming,NSU,nuke,16:7 (8:7) (8:0),Sway Gaming,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11571
fnatic,mibr,train,3:16 (3:12) (0:4),mibr,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11572
fnatic,Evil Geniuses,nuke,16:1 (14:1) (2:0),fnatic,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11573
Gravitas,Sway Gaming,dust2,16:1 (14:1) (2:0),Gravitas,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11574
SK Gaming,mibr,train,16:11 (10:5) (6:6),SK Gaming,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11575
Gravitas,fnatic,inferno,6:16 (5:10) (1:6),fnatic,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11576
mibr,fnatic,inferno,6:16 (6:9) (0:7),fnatic,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11577
SK Gaming,fnatic,inferno,13:16 (3:12) (10:4),fnatic,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11578
fnatic,SK Gaming,inferno,16:11 (11:4) (5:7),fnatic,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11579
mibr,Fx,train,17:13 (7:8) (10:5),mibr,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11580
mibr,mugNmouse,train,22:8 (13:2) (9:6),mibr,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11581
mugNmouse,Fx,nuke,4:26 (1:14) (3:12),Fx,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11582
mibr,MoB,dust2,16:6 (14:1) (2:5),mibr,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11583
Fx,MoB,nuke,20:10 (7:8) (13:2),Fx,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11584
mugNmouse,MoB,tuscan,8:22 (1:14) (7:8),MoB,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11585
fnatic,zEx,inferno,22:8 (12:3) (10:5),fnatic,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11586
FD,Gravitas,train,6:24 (4:11) (2:13),Gravitas,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11587
